Learning_rate;Hidden_size;Num_layers;MSE;RMSE
0,01;16;3;20,215;4,496
0,01;16;5;20,322;4,508
0,01;16;8;53,405;7,308
0,01;32;3;25,091;5,009
0,01;32;5;19,532;4,419
0,01;32;8;88,198;9,391
0,01;64;3;89,915;9,482
0,01;64;5;90,212;9,498
0,01;64;8;90,518;9,514
0,005;16;3;18,693;4,323
0,005;16;5;18,206;4,267
0,005;16;8;21,693;4,658
0,005;32;3;18,61;4,314
0,005;32;5;15,562;3,945
0,005;32;8;23,93;4,892
0,005;64;3;20,33;4,509
0,005;64;5;18,95;4,353
0,005;64;8;88,593;9,412
0,001;16;3;12,301;3,507
0,001;16;5;12,868;3,587
0,001;16;8;14,014;3,744
0,001;32;3;12,288;3,505
0,001;32;5;13,687;3,7
0,001;32;8;15,24;3,904
0,001;64;3;13,227;3,637
0,001;64;5;14,027;3,745
0,001;64;8;16,847;4,104
