NumEncoderLayers;NumDecoderLayers;SrcLen;TgtLen;NHeads;DimFeedforward;MSE;RMSE
1;1;12;12;1;64;17.145762181483555;4.140744157936295
1;1;12;12;2;64;16.869679329685212;4.107271518865683
1;1;12;36;1;64;12.464675257834308;3.5305346985739012
1;1;12;36;2;64;14.538050658924163;3.8128795757175657
1;3;12;12;1;64;16.58653121121498;4.072656529983222
1;3;12;12;2;64;15.428461165318224;3.9279079883976693
1;3;12;36;1;64;12.839389891118273;3.5832094400297443
1;3;12;36;2;64;13.118233400187219;3.6219101866538903
3;1;12;12;1;64;16.304359322135774;4.037865688966855
3;1;12;12;2;64;16.467282388291714;4.057989944331025
3;1;12;36;1;64;13.228180101370604;3.6370565161089545
3;1;12;36;2;64;14.124235480690407;3.758222383080917
3;3;12;12;1;64;14.881812256557634;3.85769520005892
3;3;12;12;2;64;16.253191417698186;4.0315247013627715
3;3;12;36;1;64;13.495095075857622;3.673567077903658
3;3;12;36;2;64;12.665729633485597;3.558894439778398
1;1;36;12;1;64;18.916496132763793;4.34930984556904
1;1;36;12;2;64;19.561499408064684;4.422838388191986
1;1;36;36;1;64;17.160397342273708;4.142510994828343
1;1;36;36;2;64;18.460509157634267;4.296569463843714
1;3;36;12;1;64;18.386592818546593;4.287959050474549
1;3;36;12;2;64;15.394819671575389;3.9236232835958385
1;3;36;36;1;64;13.613664269754828;3.6896699404899116
1;3;36;36;2;64;16.664680800757612;4.082239679484488
3;1;36;12;1;64;18.035058058620084;4.246770309143183
3;1;36;12;2;64;14.110493117358226;3.756393631844009
3;1;36;36;1;64;13.903074070168957;3.7286826185891657
3;1;36;36;2;64;14.650105096009305;3.827545570729277
3;3;36;12;1;64;19.446227439248403;4.409787686413985
3;3;36;12;2;64;17.740718738818526;4.211973259508959
3;3;36;36;1;64;16.346844409984257;4.043123101017858
3;3;36;36;2;64;16.163586170017208;4.020396270272025
